505;520;0;100;VERDADERO;VERDADERO;-15;;;
505;520;0;101;VERDADERO;VERDADERO;-15;;;
505;520;0;102;VERDADERO;VERDADERO;-15;;;
505;540;0;103;VERDADERO;VERDADERO;-35;;;
505;540;0;104;VERDADERO;VERDADERO;-35;;;
537;540;0;105;VERDADERO;VERDADERO;-3;;;
537;540;0;106;VERDADERO;VERDADERO;-3;;;
537;540;0;107;VERDADERO;VERDADERO;-3;;;
537;560;0;108;VERDADERO;VERDADERO;-23;;;
537;560;0;109;VERDADERO;VERDADERO;-23;;;
569;560;0;110;VERDADERO;VERDADERO;9;;;
569;581;0;111;VERDADERO;VERDADERO;-12;;;
569;581;0;112;VERDADERO;VERDADERO;-12;;;
569;601;0;113;VERDADERO;VERDADERO;-32;;;
569;601;0;114;VERDADERO;VERDADERO;-32;;;
569;601;0;115;VERDADERO;VERDADERO;-32;;;
606;601;0;116;VERDADERO;VERDADERO;5;;;
606;601;0;117;VERDADERO;VERDADERO;5;;;
606;621;0;118;VERDADERO;VERDADERO;-15;;;
606;621;0;119;VERDADERO;VERDADERO;-15;;;
606;641;0;120;VERDADERO;VERDADERO;-35;;;
637;641;0;121;VERDADERO;VERDADERO;-4;;;
637;641;0;122;VERDADERO;VERDADERO;-4;;;
637;661;0;123;VERDADERO;VERDADERO;-24;;;
637;661;0;124;VERDADERO;VERDADERO;-24;;;
637;661;0;125;VERDADERO;VERDADERO;-24;;;
669;681;0;126;VERDADERO;VERDADERO;-12;;;
669;681;0;127;VERDADERO;VERDADERO;-12;;;
669;701;0;128;VERDADERO;VERDADERO;-32;;;
669;701;0;129;VERDADERO;VERDADERO;-32;;;
669;701;0;130;VERDADERO;VERDADERO;-32;;;
669;721;0;131;VERDADERO;FALSO;-52;;;
705;721;0;132;VERDADERO;VERDADERO;-16;;;
705;741;0;133;VERDADERO;VERDADERO;-36;;;
705;741;0;134;VERDADERO;VERDADERO;-36;;;
705;741;0;135;VERDADERO;VERDADERO;-36;;;
705;761;0;136;VERDADERO;FALSO;-56;;;
737;761;0;137;VERDADERO;VERDADERO;-24;;;
737;761;0;138;VERDADERO;VERDADERO;-24;;;
737;761;0;139;VERDADERO;VERDADERO;-24;;;
737;761;0;140;VERDADERO;VERDADERO;-24;;;
737;761;0;141;VERDADERO;VERDADERO;-24;;;
770;781;0;142;VERDADERO;VERDADERO;-11;;;
770;781;0;143;VERDADERO;VERDADERO;-11;;;
770;801;0;144;VERDADERO;VERDADERO;-31;;;
770;801;0;145;VERDADERO;VERDADERO;-31;;;
770;801;0;146;VERDADERO;VERDADERO;-31;;;
770;821;0;147;VERDADERO;FALSO;-51;;;
805;821;0;148;VERDADERO;VERDADERO;-16;;;
805;821;0;149;VERDADERO;VERDADERO;-16;;;
805;841;0;150;VERDADERO;VERDADERO;-36;;;
805;841;0;151;VERDADERO;VERDADERO;-36;;;
805;841;0;152;VERDADERO;VERDADERO;-36;;;
837;861;0;153;VERDADERO;VERDADERO;-24;;;
837;861;0;154;VERDADERO;VERDADERO;-24;;;
837;861;0;155;VERDADERO;VERDADERO;-24;;;
837;861;0;156;VERDADERO;VERDADERO;-24;;;
837;881;0;157;VERDADERO;VERDADERO;-44;;;
869;881;0;158;VERDADERO;VERDADERO;-12;;;
869;881;0;159;VERDADERO;VERDADERO;-12;;;
869;901;0;160;VERDADERO;VERDADERO;-32;;;
869;901;0;161;VERDADERO;VERDADERO;-32;;;
869;921;1;162;VERDADERO;FALSO;-52;;;
905;921;0;163;VERDADERO;VERDADERO;-16;;;
905;941;0;164;VERDADERO;VERDADERO;-36;;;
905;941;0;165;VERDADERO;VERDADERO;-36;;;
905;941;0;166;VERDADERO;VERDADERO;-36;;;
905;961;0;167;VERDADERO;FALSO;-56;;;
937;961;0;168;VERDADERO;VERDADERO;-24;;;
937;961;0;169;VERDADERO;VERDADERO;-24;;;
937;961;0;170;VERDADERO;VERDADERO;-24;;;
937;981;0;171;VERDADERO;VERDADERO;-44;;;
937;981;0;172;VERDADERO;VERDADERO;-44;;;
937;1001;0;173;VERDADERO;FALSO;-64;;;
973;1001;0;174;VERDADERO;VERDADERO;-28;;;
973;1001;0;175;VERDADERO;VERDADERO;-28;;;
973;1001;0;176;VERDADERO;VERDADERO;-28;;;
973;1001;0;177;VERDADERO;VERDADERO;-28;;;
973;1021;1;178;VERDADERO;VERDADERO;-48;;;
1005;1021;0;179;VERDADERO;VERDADERO;-16;;;
1005;1021;0;180;VERDADERO;VERDADERO;-16;;;
1005;1041;0;181;VERDADERO;VERDADERO;-36;;;
1005;1041;0;182;VERDADERO;VERDADERO;-36;;;
1005;1041;0;183;VERDADERO;VERDADERO;-36;;;
1038;1041;0;184;VERDADERO;VERDADERO;-3;;;
1038;1061;0;185;VERDADERO;VERDADERO;-23;;;
1038;1061;0;186;VERDADERO;VERDADERO;-23;;;
1038;1061;0;187;VERDADERO;VERDADERO;-23;;;
1038;1081;0;188;VERDADERO;VERDADERO;-43;;;
1069;1081;0;189;VERDADERO;VERDADERO;-12;;;
1069;1081;0;190;VERDADERO;VERDADERO;-12;;;
1069;1081;0;191;VERDADERO;VERDADERO;-12;;;
1069;1081;0;192;VERDADERO;VERDADERO;-12;;;
1069;1081;0;193;VERDADERO;VERDADERO;-12;;;
1069;1101;1;194;VERDADERO;VERDADERO;-32;;;
1101;1101;0;195;VERDADERO;VERDADERO;0;;;
1101;1101;0;196;VERDADERO;VERDADERO;0;;;
1101;1122;0;197;VERDADERO;VERDADERO;-21;;;
1101;1122;0;198;VERDADERO;VERDADERO;-21;;;
1101;1142;0;199;VERDADERO;VERDADERO;-41;;;
1137;1142;0;200;VERDADERO;VERDADERO;-5;;;
1137;1142;0;201;VERDADERO;VERDADERO;-5;;;
1137;1162;0;202;VERDADERO;VERDADERO;-25;;;
1137;1162;0;203;VERDADERO;VERDADERO;-25;;;
1137;1182;0;204;VERDADERO;VERDADERO;-45;;;
1170;1182;0;205;VERDADERO;VERDADERO;-12;;;
1170;1182;0;206;VERDADERO;VERDADERO;-12;;;
1170;1202;0;207;VERDADERO;VERDADERO;-32;;;
1170;1202;0;208;VERDADERO;VERDADERO;-32;;;
1170;1202;0;209;VERDADERO;VERDADERO;-32;;;
1202;1222;0;210;VERDADERO;VERDADERO;-20;;;
1202;1222;0;211;VERDADERO;VERDADERO;-20;;;
1202;1222;0;212;VERDADERO;VERDADERO;-20;;;
1202;1242;0;213;VERDADERO;VERDADERO;-40;;;
1202;1242;0;214;VERDADERO;VERDADERO;-40;;;
1202;1242;0;215;VERDADERO;VERDADERO;-40;;;
1237;1242;0;216;VERDADERO;VERDADERO;-5;;;
1237;1242;0;217;VERDADERO;VERDADERO;-5;;;
1237;1262;0;218;VERDADERO;VERDADERO;-25;;;
1237;1262;0;219;VERDADERO;VERDADERO;-25;;;
1237;1282;0;220;VERDADERO;VERDADERO;-45;;;
1269;1282;0;221;VERDADERO;VERDADERO;-13;;;
1269;1282;0;222;VERDADERO;VERDADERO;-13;;;
1269;1302;0;223;VERDADERO;VERDADERO;-33;;;
1269;1302;0;224;VERDADERO;VERDADERO;-33;;;
1269;1302;0;225;VERDADERO;VERDADERO;-33;;;
1269;1322;1;226;VERDADERO;FALSO;-53;;;
1305;1322;0;227;VERDADERO;VERDADERO;-17;;;
1305;1342;0;228;VERDADERO;VERDADERO;-37;;;
1305;1342;0;229;VERDADERO;VERDADERO;-37;;;
1305;1342;0;230;VERDADERO;VERDADERO;-37;;;
1305;1342;0;231;VERDADERO;VERDADERO;-37;;;
1338;1342;0;232;VERDADERO;VERDADERO;-4;;;
1338;1342;0;233;VERDADERO;VERDADERO;-4;;;
1338;1362;0;234;VERDADERO;VERDADERO;-24;;;
1338;1362;0;235;VERDADERO;VERDADERO;-24;;;
1338;1382;0;236;VERDADERO;VERDADERO;-44;;;
1373;1382;0;237;VERDADERO;VERDADERO;-9;;;
1373;1382;0;238;VERDADERO;VERDADERO;-9;;;
1373;1402;0;239;VERDADERO;VERDADERO;-29;;;
1373;1402;0;240;VERDADERO;VERDADERO;-29;;;
1373;1402;0;241;VERDADERO;VERDADERO;-29;;;
1373;1422;0;242;VERDADERO;VERDADERO;-49;;;
1405;1422;0;243;VERDADERO;VERDADERO;-17;;;
1405;1422;0;244;VERDADERO;VERDADERO;-17;;;
1405;1442;0;245;VERDADERO;VERDADERO;-37;;;
1405;1442;0;246;VERDADERO;VERDADERO;-37;;;
1405;1442;0;247;VERDADERO;VERDADERO;-37;;;
1441;1442;0;248;VERDADERO;VERDADERO;-1;;;
1441;1442;0;249;VERDADERO;VERDADERO;-1;;;
1441;1462;0;250;VERDADERO;VERDADERO;-21;;;
1441;1462;0;251;VERDADERO;VERDADERO;-21;;;
1441;1462;0;252;VERDADERO;VERDADERO;-21;;;
1441;1482;0;253;VERDADERO;VERDADERO;-41;;;
1474;1482;0;254;VERDADERO;VERDADERO;-8;;;
1474;1502;0;255;VERDADERO;VERDADERO;-28;;;
1474;1502;0;256;VERDADERO;VERDADERO;-28;;;
1474;1502;0;257;VERDADERO;VERDADERO;-28;;;
1474;1522;0;258;VERDADERO;VERDADERO;-48;;;
1510;1522;0;259;VERDADERO;VERDADERO;-12;;;
1510;1542;0;260;VERDADERO;VERDADERO;-32;;;
