Clase, Coordenada_X, Coordenada_Y, Profundidad
drumsticks_tip, 240, 236, 0.8418
drumsticks_mid, 154, 210, 0.9454
drumsticks_tip, 241, 247, 0.8460
drumsticks_mid, 155, 215, 0.9370
drumsticks_tip, 238, 246, 0.7848
drumsticks_mid, 153, 213, 0.9313
drumsticks_tip, 230, 228, 0.7882
drumsticks_mid, 148, 201, 0.9224
drumsticks_tip, 216, 175, 0.5463
drumsticks_mid, 137, 169, 0.8053
drumsticks_tip, 205, 135, 0.4795
drumsticks_mid, 132, 149, 0.7441
drumsticks_tip, 191, 63, 0.4076
drumsticks_mid, 124, 114, 0.9206
drumsticks_tip, 173, 17, 0.3464
drumsticks_mid, 114, 92, 0.7756
drumsticks_mid, 104, 83, 0.9078
drumsticks_mid, 98, 84, 0.9109
drumsticks_tip, 138, 8, 0.4986
drumsticks_tip, 111, 13, 0.6708
drumsticks_mid, 83, 93, 0.8467
drumsticks_tip, 99, 16, 0.5967
drumsticks_mid, 76, 99, 0.8704
drumsticks_tip, 78, 52, 0.8649
drumsticks_tip, 60, 258, 0.8242
drumsticks_tip, 64, 298, 0.7580
drumsticks_mid, 63, 267, 0.8462
drumsticks_tip, 67, 346, 0.7469
drumsticks_mid, 63, 274, 0.8683
drumsticks_tip, 68, 353, 0.8104
drumsticks_tip, 68, 345, 0.7127
drumsticks_mid, 64, 268, 0.8194
drumsticks_mid, 64, 246, 0.9403
drumsticks_tip, 70, 305, 0.8388
drumsticks_tip, 78, 200, 0.9496
drumsticks_tip, 86, 108, 0.7413
drumsticks_tip, 93, 37, 0.7665
drumsticks_mid, 77, 106, 0.9133
drumsticks_mid, 79, 74, 0.8343
drumsticks_mid, 77, 62, 0.8150
drumsticks_mid, 74, 45, 0.8577
drumsticks_mid, 70, 42, 0.9245
drumsticks_mid, 66, 47, 0.8063
drumsticks_mid, 63, 74, 0.9355
drumsticks_tip, 61, 24, 0.4472
drumsticks_tip, 52, 59, 0.7380
drumsticks_mid, 51, 127, 0.9452
drumsticks_tip, 20, 133, 0.6834
drumsticks_tip, 7, 160, 0.8976
drumsticks_mid, 16, 201, 0.9961
drumsticks_mid, 3, 219, 0.9992
drumsticks_mid, 15, 174, 0.9053
drumsticks_tip, 30, 104, 0.2784
drumsticks_tip, 105, 130, 0.1767
drumsticks_tip, 165, 109, 0.6796
drumsticks_mid, 107, 168, 0.9328
drumsticks_tip, 219, 89, 0.2219
drumsticks_mid, 145, 147, 0.6922
drumsticks_tip, 278, 91, 0.4155
drumsticks_mid, 180, 141, 0.7792
drumsticks_tip, 296, 98, 0.5728
drumsticks_mid, 193, 141, 0.9520
drumsticks_tip, 304, 77, 0.1881
drumsticks_mid, 202, 128, 0.6226
drumsticks_tip, 296, 47, 0.2268
drumsticks_mid, 199, 113, 0.5497
drumsticks_mid, 196, 118, 0.6583
drumsticks_tip, 286, 43, 0.2119
drumsticks_tip, 251, 190, 0.9375
drumsticks_mid, 167, 179, 0.9743
drumsticks_mid, 152, 129, 0.2236
drumsticks_mid, 144, 75, 0.7584
drumsticks_mid, 140, 87, 0.6818
drumsticks_tip, 166, 144, 0.7629
drumsticks_mid, 113, 142, 0.9629
drumsticks_tip, 141, 143, 0.7607
drumsticks_mid, 91, 78, 0.6917
drumsticks_mid, 83, 47, 0.8877
drumsticks_tip, 22, 153, 0.9367
drumsticks_tip, 7, 125, 0.2881
drumsticks_tip, 24, 12, 0.6572
drumsticks_tip, 11, 161, 0.8897
drumsticks_mid, 42, 140, 0.9815
drumsticks_tip, 19, 52, 0.3201
drumsticks_mid, 76, 49, 0.7662
drumsticks_tip, 103, 16, 0.3610
drumsticks_mid, 98, 160, 0.9258
drumsticks_tip, 123, 219, 0.9159
drumsticks_tip, 100, 18, 0.5216
drumsticks_mid, 82, 80, 0.8905
drumsticks_mid, 82, 70, 0.9366
drumsticks_tip, 107, 230, 0.9001
drumsticks_tip, 124, 310, 0.7350
drumsticks_mid, 97, 213, 0.9425
drumsticks_tip, 130, 313, 0.8216
drumsticks_mid, 102, 228, 0.9422
drumsticks_mid, 100, 212, 0.9024
drumsticks_tip, 127, 280, 0.8148
drumsticks_tip, 112, 29, 0.7505
drumsticks_mid, 90, 99, 0.9077
drumsticks_mid, 103, 87, 0.8334
drumsticks_tip, 148, 44, 0.5364
drumsticks_tip, 183, 303, 0.5089
drumsticks_tip, 189, 346, 0.5071
drumsticks_mid, 140, 250, 0.8501
drumsticks_mid, 143, 239, 0.8989
drumsticks_tip, 196, 320, 0.7069
drumsticks_tip, 188, 224, 0.8699
drumsticks_tip, 139, 77, 0.2635
drumsticks_tip, 111, 13, 0.2632
drumsticks_mid, 70, 43, 0.8411
drumsticks_mid, 78, 220, 0.9025
drumsticks_tip, 90, 320, 0.1590
drumsticks_mid, 80, 228, 0.7805
drumsticks_tip, 92, 322, 0.1555
drumsticks_tip, 90, 236, 0.8068
drumsticks_mid, 79, 184, 0.9022
drumsticks_mid, 75, 243, 0.8740
drumsticks_mid, 78, 264, 0.6522
drumsticks_mid, 83, 279, 0.5328
drumsticks_tip, 96, 375, 0.2709
drumsticks_mid, 85, 277, 0.7278
drumsticks_tip, 102, 368, 0.4270
drumsticks_mid, 89, 259, 0.8120
drumsticks_tip, 106, 336, 0.4495
drumsticks_mid, 91, 228, 0.8527
drumsticks_tip, 112, 278, 0.5395
drumsticks_tip, 120, 189, 0.8921
drumsticks_tip, 120, 73, 0.3413
drumsticks_mid, 90, 71, 0.7822
drumsticks_mid, 89, 49, 0.9080
drumsticks_mid, 80, 15, 0.9055
drumsticks_mid, 77, 8, 0.9195
drumsticks_mid, 71, 10, 0.8829
drumsticks_mid, 67, 44, 0.8710
drumsticks_tip, 87, 56, 0.6586
drumsticks_tip, 87, 243, 0.8959
drumsticks_mid, 72, 189, 0.9405
drumsticks_tip, 85, 252, 0.8184
drumsticks_mid, 72, 193, 0.9067
drumsticks_tip, 73, 215, 0.9063
drumsticks_tip, 12, 12, 0.8459
drumsticks_mid, 28, 61, 0.9599
drumsticks_mid, 21, 42, 0.9145
drumsticks_mid, 22, 55, 0.9120
drumsticks_mid, 25, 78, 0.9408
drumsticks_mid, 31, 182, 0.8937
drumsticks_tip, 9, 240, 0.5955
drumsticks_tip, 10, 258, 0.7443
drumsticks_mid, 31, 192, 0.8896
drumsticks_mid, 30, 184, 0.9173
drumsticks_tip, 9, 237, 0.7423
drumsticks_tip, 6, 42, 0.5166
drumsticks_mid, 38, 87, 0.9299
drumsticks_tip, 15, 11, 0.3112
drumsticks_mid, 73, 56, 0.4246
drumsticks_mid, 122, 59, 0.6734
drumsticks_tip, 264, 26, 0.2278
drumsticks_mid, 182, 107, 0.2486
drumsticks_tip, 310, 103, 0.7803
drumsticks_mid, 208, 138, 0.6084
drumsticks_tip, 348, 149, 0.8871
drumsticks_mid, 238, 161, 0.9886
drumsticks_tip, 361, 112, 0.1731
drumsticks_mid, 249, 140, 0.9670
drumsticks_tip, 355, 84, 0.1680
drumsticks_mid, 249, 124, 0.8221
drumsticks_mid, 233, 87, 0.3065
drumsticks_tip, 337, 22, 0.2325
drumsticks_mid, 214, 62, 0.7644
drumsticks_mid, 206, 58, 0.9121
drumsticks_mid, 195, 76, 0.8560
drumsticks_tip, 244, 41, 0.4365
drumsticks_mid, 165, 101, 0.9093
drumsticks_tip, 164, 24, 0.2633
drumsticks_mid, 5, 26, 0.3263
drumsticks_mid, 73, 48, 0.2384
drumsticks_mid, 145, 102, 0.2319
drumsticks_tip, 253, 36, 0.1828
drumsticks_tip, 294, 111, 0.6427
drumsticks_mid, 169, 128, 0.5963
drumsticks_tip, 309, 158, 0.9567
drumsticks_mid, 188, 147, 0.9879
drumsticks_tip, 312, 87, 0.2855
drumsticks_mid, 189, 111, 0.7381
drumsticks_mid, 183, 87, 0.4088
drumsticks_tip, 301, 44, 0.1868
drumsticks_mid, 164, 44, 0.3399
drumsticks_mid, 138, 18, 0.7858
