;;;;;;;W;X;Y;Z;;;;;;;;;;;;;;;;;;
0,168010473;0,019896281;-0,020766761;0,000726715;0,99958609;;0;0,02;-0,02;0,00;1,00;;-0,9984;-0,0398;-0,0416;0,0398;-0,9984;0,0022;-0,0416;0,0006;1,0000;;-0,04156;0,00223;1,00003;1,00089;-0,04152;0,00223;0,99914
0,168010473;0,019967062;-0,020700049;0,000792853;0,999586012;;0;0,02;-0,02;0,00;1,00;;-0,9984;-0,0400;-0,0414;0,0400;-0,9984;0,0024;-0,0414;0,0008;1,0000;;-0,04135;0,00243;1,00003;1,00089;-0,04131;0,00243;0,99914
0,169010401;0,020006384;-0,020660031;0,000832139;0,999586022;;1;0,02;-0,02;0,00;1,00;;-0,9984;-0,0400;-0,0414;0,0400;-0,9984;0,0024;-0,0414;0,0008;1,0000;;-0,04135;0,00243;1,00003;1,00089;-0,04131;0,00243;0,99914
0,170009375;0,020037257;-0,020628002;0,000863509;0,999586038;;1;0,02;-0,02;0,00;1,00;;-0,9984;-0,0400;-0,0411;0,0399;-0,9984;0,0026;-0,0412;0,0010;1,0000;;-0,04115;0,00262;1,00002;1,00087;-0,04111;0,00262;0,99915
0,170009375;0,020073309;-0,020590471;0,000900252;0,999586056;;0;0,02;-0,02;0,00;1,00;;-0,9984;-0,0402;-0,0411;0,0401;-0,9984;0,0026;-0,0412;0,0010;1,0000;;-0,04115;0,00263;1,00003;1,00088;-0,04111;0,00263;0,99915
0,170009375;0,020096268;-0,020566561;0,000923659;0,999586066;;0;0,02;-0,02;0,00;1,00;;-0,9984;-0,0402;-0,0411;0,0401;-0,9984;0,0026;-0,0412;0,0010;1,0000;;-0,04115;0,00263;1,00003;1,00088;-0,04111;0,00263;0,99915
0,170009375;0,023073344;-0,017465366;0,003959257;0,999573362;;0;0,02;-0,02;0,00;1,00;;-0,9984;-0,0463;-0,0348;0,0460;-0,9983;0,0088;-0,0352;0,0072;1,0000;;-0,03480;0,00881;1,00002;1,00067;-0,03478;0,00880;0,99936
0,171008825;0,013220084;-0,013443568;0,001027267;0,999821706;;1;0,01;-0,01;0,00;1,00;;-0,9992;-0,0264;-0,0268;0,0264;-0,9992;0,0024;-0,0268;0,0016;1,0000;;-0,02677;0,00235;0,99995;1,00031;-0,02676;0,00235;0,99964
0,172010899;0,012312201;-0,014119118;0,000236094;0,999824487;;1;0,01;-0,01;0,00;1,00;;-0,9992;-0,0246;-0,0282;0,0246;-0,9992;0,0007;-0,0282;0,0001;1,0000;;-0,02819;0,00075;0,99995;1,00035;-0,02818;0,00075;0,99960
0,172010899;0,012103145;-0,014303374;0,00E+00;0,999824447;;0;0,01;-0,01;0,00;1,00;;-0,9992;-0,0242;-0,0286;0,0242;-0,9992;0,0003;-0,0286;-0,0003;1,0000;;-0,02859;0,00035;0,99995;1,00036;-0,02858;0,00035;0,99959
0,172010899;0,012036589;-0,01436771;0,00E+00;0,999824329;;0;0,01;-0,01;0,00;1,00;;-0,9992;-0,0240;-0,0288;0,0240;-0,9992;0,0003;-0,0288;-0,0003;1,0000;;-0,02879;0,00035;0,99995;1,00037;-0,02878;0,00035;0,99959
0,173010349;0,012000963;-0,014403754;0,00E+00;0,999824237;;1;0,01;-0,01;0,00;1,00;;-0,9992;-0,0240;-0,0288;0,0240;-0,9992;0,0003;-0,0288;-0,0003;1,0000;;-0,02879;0,00035;0,99995;1,00037;-0,02878;0,00035;0,99959
0,173010349;0,011931966;-0,014474519;-0,000131355;0,999824034;;0;0,01;-0,01;0,00;1,00;;-0,9992;-0,0238;-0,0290;0,0238;-0,9992;0,0001;-0,0290;-0,0005;1,0000;;-0,02900;0,00015;0,99995;1,00037;-0,02899;0,00015;0,99958
0,17401123;0,017165381;-0,020668942;0,00E+00;0,999639007;;1;0,02;-0,02;0,00;1,00;;-0,9985;-0,0344;-0,0414;0,0344;-0,9985;0,0007;-0,0414;-0,0007;0,9999;;-0,04138;0,00071;0,99992;1,00078;-0,04135;0,00071;0,99914
0,175011396;0,018068154;-0,021283386;0,000238992;0,999610175;;1;0,02;-0,02;0,00;1,00;;-0,9984;-0,0362;-0,0426;0,0362;-0,9984;0,0012;-0,0426;-0,0004;1,0000;;-0,04258;0,00117;0,99998;1,00089;-0,04254;0,00117;0,99909
0,176012039;0,018277943;-0,021272485;0,00036023;0,999606557;;1;0,02;-0,02;0,00;1,00;;-0,9984;-0,0366;-0,0426;0,0366;-0,9984;0,0016;-0,0426;0,0000;1,0000;;-0,04257;0,00158;0,99999;1,00090;-0,04253;0,00158;0,99909
0,176998615;0,018370849;-0,021203515;0,000442499;0,999606286;;1;0,02;-0,02;0,00;1,00;;-0,9984;-0,0368;-0,0424;0,0368;-0,9984;0,0016;-0,0424;0,0000;1,0000;;-0,04237;0,00158;0,99999;1,00089;-0,04233;0,00158;0,99910
0,177997828;0,018378878;-0,021198857;0,000449028;0,999606234;;1;0,02;-0,02;0,00;1,00;;-0,9984;-0,0368;-0,0424;0,0368;-0,9984;0,0016;-0,0424;0,0000;1,0000;;-0,04237;0,00158;0,99999;1,00089;-0,04233;0,00158;0,99910
0,178998947;0,023431731;-0,026960874;0,000740927;0,999361554;;1;0,02;-0,03;0,00;1,00;;-0,9975;-0,0468;-0,0539;0,0467;-0,9975;0,0027;-0,0540;0,0001;1,0001;;-0,05393;0,00266;1,00008;1,00153;-0,05385;0,00266;0,99855
0,179991961;0,024428183;-0,02739075;0,001109646;0,999325662;;1;0,02;-0,03;0,00;1,00;;-0,9973;-0,0488;-0,0547;0,0487;-0,9973;0,0035;-0,0548;0,0009;0,9999;;-0,05471;0,00354;0,99995;1,00145;-0,05463;0,00353;0,99850
0,179991961;0,024656588;-0,027347584;0,001256577;0,999321061;;0;0,02;-0,03;0,00;1,00;;-0,9972;-0,0494;-0,0545;0,0493;-0,9972;0,0039;-0,0546;0,0012;1,0000;;-0,05450;0,00395;0,99995;1,00145;-0,05442;0,00394;0,99851
